name,review,rating
부탄츄 신촌점,"진하고 걸죽한 국물!! 짠맛이 좀 쎄고 면의 종류에 따라 일본식라멘, 비빔면을 먹는 느낌이 드네요~^^",5
부탄츄 신촌점,좋아요,5
부탄츄 신촌점,진짜 레알 맛있어요!,5
부탄츄 신촌점,직원싸가지없음,3
부탄츄 신촌점,짱맛!!!,5
부탄츄 신촌점,부탄츄 말만 들었었는데 정말 맛있네요! 국물도 진하고 진득하니 취향이었어요:) 숙주도 많이줘서 짱좋!!,5
부탄츄 신촌점,토핑 가득가득,5
부탄츄 신촌점,음악이 너무 시끄럽고 정신없어요. 맛은 무난,3
부탄츄 신촌점,#라멘 #신촌 국물이 담백하고 맛있습니다. 숙주는 적게하면 5-7가닥정도 있습니다,4
부탄츄 신촌점,맛잇어요,4
부탄츄 신촌점,양도 많고 맛있어요그런데 매장 들어오면 나는 돼지 냄새? 랑 매장 실내가 좀 꿉꿉한건 아쉽네용 #우리동네숨은밥집,3
부탄츄 신촌점,국물이 진하고맛있어요~~!! 그런데 진해서인지 먹을수록조금 느끼해져서 다 못먹었어요ㅠㅎㅎ,4
부탄츄 신촌점,면 과 밥이 무료 무한리필. 면 종류와 토핑등을 선택할수 있고 국물이 진해서 좋음. 다만 보통도 짜게 느껴져서 아쉬웠음.,4
부탄츄 신촌점,한국 라멘집 중 최고,5
부탄츄 신촌점,양념은 보통 .. ㅋㅋ 먹을수록 짜더라구요 전 ㅎㅎ,4
부탄츄 신촌점,직원은 친절.맛은 그저 그럼,3
부탄츄 신촌점,굿,4
부탄츄 신촌점,일본인이 직접 서빙하는 라멘집. 마늘맛이강하니 조절해서드세요! 저는 맛있었어요,5
부탄츄 신촌점,굿,4
소신이쏘,부드럽고 살고기로 양념도 잘 베어있어서 맛있게 먹었습니다~! 사이드메뉴도 곁들어먹고 굿굿,5
소신이쏘,점심특가 말곤 메리트가 크게 없는듯요 맛은 대학가 식당 맛입니다,4
소신이쏘,고기가 결대로 찢어지며 씹히는 게 맛있고 당면은 추가 안 해도 배 터질 정도록 많이 들어서 진짜 좋았어요! 적당히 맵고 꾸덕한 매콤크림소스가 재료에 잘 베여들어서 입천장 다 데이도록 흡입했네요ㅎㅎ,5
소신이쏘,신촌 갈때마다 생각나는 맛집,5
소신이쏘,친절하시고 갈비찜도 맛있어요! 크림 먹었는데 생각보단 안 매워서 한 단계 업해도 될 것 같아요 무튼 존맛! ㅎㅎ,5
소신이쏘,좋아요,3.5
소신이쏘,맛있지만 정말 너무 더워요 더운데 뜨거운 음식 먹으려니까 입맛 뚝 떨어져요 진짜 그냥 대충 먹고 나와서 시원한 곳 갔어요.. 땀 빼면서 드시고 싶으시면 가세요~!ㅜㅜ,1
소신이쏘,맛있어요!,5
소신이쏘,맛있어요!!,4.5
소신이쏘,맛있어요,5
소신이쏘,맛잇어요!!!,4
소신이쏘,크림소갈비찜 왕맛있어요😍 주먹밥도 지이이이이이인짜 맛있어요!!! 후식 식혜도 존맛 뭐야 쓰고보니까 다 맛있다고 했는데 진짜로 맛없는게 없어요👍,5
소신이쏘,고기가 부드럽고 맛있고 사장님친절하세요 자주갈게요 감사합니다~~,5
소신이쏘,1인도 가능해서 혼밥하기도 좋고 너무 맛있어서 감동했습니다 부드럽기도 너무 부드럽고 무엇보다 물리지않았어요 ! 매장도 시원하고 시끄럽지않고 직원분들도 너무 다 친절하시고 밝은 분위기같아 보여서 좋았습니다 서비스로받은 누룽지까지 너무 맛있었어요 조만간 또 재방문 하겠습니다 ! ⭐️⭐️⭐️⭐️⭐️,5
소신이쏘,양은 많은데 가격은 비싸요... 양념도 맛있는 걸 모르겠어요ㅠ 고기보다 당면이나 야채가 많은 느낌 치즈 볶음밥은 당연히 맛있음 다시 가진 않을 듯 합니다,1
소신이쏘,음식은 맛있었으나 여직원이 매우 불친절함. 오죽하면 같이 간 친구가 화난거 아니냐고 할정도,3
소신이쏘,늘 맛나용~~,5
소신이쏘,신촌 맛집을 찾고계신다면 꼭 추천드리고싶은 맛집이에요. 꼭 다시 재방문하고싶은! 주말 점심 웨이팅 꽤 있습니다. 사이드로 콘치즈 꼭 추천드려요! 크림 소갈비 정말 맛있어요ㅠㅠ,5
소신이쏘,맛있어요! 포장도 되는데 포장하면 평일 점심 할인은 적용 안되더라고요,5
소신이쏘,"맛은있으나, 음식이 식어서 버너를키면 직원이 바로와서 불을끔.. 또식어서 버너를키면 직원이 또와서 바로불을끔..방금켰다고 말해도 불 줄이라고함..그직원만그럼.. 9시쯤 화장실청소한다고 문을잠구고 안나옴.. 그거빼곤 맛은있음",3
소신이쏘,신촌에 놀러왔다 하면 무조건 가야하는 맛집🖤 갈비 엄청 부드럽고 주먹밥이랑 크림 적셔서 함께 먹으면 천국가는 맛👀🌈,5
소신이쏘,세상에서 제일 맛있음,5
소신이쏘,일단 친절하셔서 좋았어요! 그리고 갈비찜도 부드러워서 교정한 친구도 잘 먹더라구요ㅎㅎ,5
소신이쏘,진짜 맛있어요~~!! 크림시켰는데 당면이랑 넘 잘어울려요~ 당면추가 한번 더 했네요~~ 맵기는 중지 선택했는데 적당히 맵고 맛있었어요~~ 배가 불러서 볶음밥 못먹은게 한이네요ㅠㅜ,5
소신이쏘,굿,4.5
소신이쏘,쿠폰 다 모을 정도로 자주 찾는 곳이에요!!! ㅠㅠ 정말 맛있어요 ㅠㅠㅠㅠㅠㅠㅠ,5
소신이쏘,좋아요!,5
소신이쏘,양념이 맛있어요! 자주갈것같아요~^^,4.5
소신이쏘,로제갈비찜이라니!! 너무 맛있음~ 당면무한리필 실화냥?ㅜㅠ 가격도 넘 착하고 완전 혜자~~ 맛있음!!!,5
소신이쏘,참 맛👍,4
소신이쏘,짱맛.,4.5
소신이쏘,맵기조절도 가능하고 떡과 당면은 무한리필이에요,5
소신이쏘,크림갈비찜 너므 맛있어요ㅎㅎ 볶음밥은 꼭 드셔야합니당,5
소신이쏘,너무 시끄러워요.,3
소신이쏘,장조림같아용 ㅎㅎ,4
소신이쏘,갈때마다 감동 ! 계란찜 꼭 먹어요,5
소신이쏘,느끼했어요ㅠㅠ,2.5
소신이쏘,맛있게 잘 먹었습니다! 크림맛 존맛탱이에요,5
소신이쏘,맛있고 좋았는데 여자분이 바로 보이는 곳에서 마.ㅅ크를 턱에 걸치고 계시더라구요..좀 아쉬웠습니다,3.5
소신이쏘,여기 되게 맛있어요ㅋㅋ 맵찔이라 엄청 겁먹고 갔는데 볶음밥까지 시켜서 야무지게 먹었음,4.5
소신이쏘,양도 많고 맛있어요! 계란찜도 같이 먹는거 강추!,5
소신이쏘,맛있어요!!,5
소신이쏘,"일단 직원분 완전 친절함 그 자체,,,☆ 더불어 음식 비주얼도 좋고 엄청 맛있었어용ㅠㅠ 저는 크림 소 갈비찜으로 맵기는 약지 장지 중간으로 먹었는데 맵찔이라 딱 적당하고, 요즘 로제가 뜨고 있어서 그 런지 더 맛있었어요 :') 크림의 향도 강하지만 매운 맛이 있어 느끼하지도 않고 딱 좋았답니다!! 좋은 음식 감사합니다😁",5
소신이쏘,"갈비도 넘 맛있구 떡,당면 무한리필되는거넘 좋아요오 볶음밥 밥이 딱딱한게 아쉽ㅜ",4.5
소신이쏘,맛있어요 근데 제일 안 매운 맛으로 시켜도 맵더라구요,4.5
소신이쏘,좋아용,3
소신이쏘,맛있고 친절해요 학생들 많이 오는 신촌이라 그런가 양도 많고 배불리 먹었어요,5
소신이쏘,"대존맛이지만 양이 적어서 아쉬움 ,,,",4
소신이쏘,친절해요 콘버터맛있음 갈비찜도보통 술집이라그런지 시끄러워요ㅜㅜ 갈비양이 적고 당면이많아요ㅜ 조금짜요,5
소신이쏘,맛있어요 엄청,5
소신이쏘,점심할인 좋아요,4
소신이쏘,점심때 할인해서 저렴하게 맛있게 먹었어요,5
소신이쏘,맛있구 가격도 짱 ><,5
소신이쏘,맛있어요. 다음에 또 가야지 사진은 크림 소갈비 2인분,5
소신이쏘,대학생들 음식점입니다. 중장년은~~,5
